Term,Definition,Category
Alignment,A state in which no one disagrees aloud,Management Speak
Best Practice,Something we didn't invent,General
Bleeding Edge,We don't know what we're doing,General
Bug,Job Security,Engineering Reality
Challenging,Impossible,General
Cloud,Someone else's computer (that we are paying for),General
Collaboration,More meetings,Management Speak
Cooperation,When you do it my way,Management Speak
Cutting Edge,See Leading Edge,General
Dashboard,A place where problems are displayed attractively,Management Speak
Deliverable,Something not yet defined but urgently needed,Management Speak
Digital Transformation,Doing the same thing with new software,Management Speak
Doable,Subject to cancellation,General
Efficiency,Doing more with less until something breaks,Management Speak
Feasible,Copied from the competition,General
Feature,Well dressed bug,Engineering Reality
Flexible,Undefined,Management Speak
Folder,A place where files go to hide,Hardware Truths
Game Changer,VP's wet dream,Management Speak
Growth Opportunity,We be screwed,Management Speak
Innovation,Change that hasn't failed yet,Management Speak
Innovative,Same as last year,Management Speak
Integration,Where systems go to argue,Management Speak
Leading Edge,See Bleeding Edge,General
Legacy System,The only thing that still works,General
Leverage Synergies,"We have no plan, but it sounds impressive",Management Speak
Marketeer,Blowhard,General
Marketing,Dressing the features so they're appealing (see Feature),General
Metrics,Numbers that suggest control,Management Speak
Migration,Moving problems to a new location,Management Speak
Optimization,Making it faster until it stops working,Management Speak
Password,A secret known to everyone except its owner,Hardware Truths
Printer,A device that senses fear,Hardware Truths
Production,Where things break publicly,Engineering Reality
Quick Win,Politically complicated,Management Speak
Reasoning,Because I'm the boss,General
Refactor,Break everything carefully,Engineering Reality
Roadmap,A plan subject to immediate revision,Management Speak
Scalable,Not yet tested,Management Speak
SneakerNet,The most reliable network when all others fail,Hardware Truths
Socialize,Talk about it endlessly without deciding,Management Speak
Solution,Something that creates different problems,Management Speak
Spec,Wishlist,Engineering Reality
Streamlined,Missing steps we used to need,Management Speak
Sync,A promise that two devices will agree,General
TODO,Never going to happen,General
User-Friendly,Not friendly to users,Management Speak
Wi-Fi,The thing that works until someone important needs it,Hardware Truths
Works on my Machine,Not my problem,Engineering Reality
